fixer_commit_id,source_file,change_type,bug_intro_lines,bug_fix_lines
6cdaf9a9ffe77d6a51f4a6beb87b92dfae07b82b,src/core/quadtree.ts,MODIFY,"[499, 504, 505, 506]",[499]
507e74ab1283756ceb548d626affcc15ba39ebc1,src/rendering/canvas/edge-label.ts,MODIFY,"[70, 72]","[71, 72]"
b39e13ab0003193ed5da6cd19bb86507bf20044c,src/captors/mouse.ts,MODIFY,[195],[195]
9e6ce2269844a8f35dbc66687319469997d82946,src/core/captors/mouse.ts,MODIFY,"[207, 209, 210, 212]","[207, 208, 209, 211, 212]"
ecd42ed94431e5e44540220e722fe8967d21fcfd,src/renderers/sigma.renderers.webgl.js,MODIFY,"[75, 80, 81, 82]","[75, 76, 77, 78, 79, 80, 81, 82, 83]"
7d25687b3316557ae9d3e079a1cf6cb795cf1d21,src/rendering/webgl/programs/node.image.ts,MODIFY,[133],[133]
55f107ae7acb48bfcbcb25ae3781f628f3178d10,src/rendering/webgl/programs/node.image.ts,MODIFY,"[19, 89, 105, 107, 108, 110, 111, 112, 113, 114, 115, 116, 118, 119, 120, 121, 122, 123, 124, 126, 128, 129, 130, 131, 132, 133, 134, 135, 137, 140, 141]","[19, 20, 21, 22, 23, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 105, 121, 123, 124, 125, 127, 128, 129, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 147, 148, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202, 203, 206, 207, 208, 209, 210, 211]"
6fb5149b277b30e791b683b546fb7296bd9c0908,src/core/camera.ts,MODIFY,"[140, 141, 142, 143]","[140, 141, 142, 143]"
7bd4b61f4f892c3531582436cd3213a2a8ef6b52,src/middlewares/sigma.middlewares.rescale.js,MODIFY,"[99, 102, 110, 113]","[99, 102, 110, 113]"
6c82de2a97e73c12ef6ab0f5e9036a412cca57db,plugins/sigma.layout.forceAtlas2/sigma.layout.forceAtlas2.js,MODIFY,[987],"[987, 988, 989, 990]"
b4df06e5ead72298ba790d035ec56d3e96d71927,website/index.html,MODIFY,"[273, 275]","[273, 275]"
f2262f58c13cc4dce9e2dc2acf9e3cfaa3ddf6f1,src/utils/sigma.utils.js,MODIFY,"[244, 246, 257]","[244, 245, 247, 248, 249, 250, 251, 262, 263, 264, 265, 266, 267, 268, 269, 270, 271, 272, 273, 274, 275, 276, 277, 278, 279, 280, 281]"
f2262f58c13cc4dce9e2dc2acf9e3cfaa3ddf6f1,src/captors/sigma.captors.touch.js,MODIFY,"[61, 62, 63, 64, 65]","[61, 62, 63, 64, 65, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93]"
f2262f58c13cc4dce9e2dc2acf9e3cfaa3ddf6f1,src/renderers/sigma.renderers.webgl.js,MODIFY,"[103, 104, 105]","[103, 104, 105, 106, 107, 571, 572, 573, 574, 575, 576, 577, 578, 579, 580, 581, 582, 583, 584, 585, 586, 587, 588, 589, 590, 591, 592, 593, 594, 595]"
f2262f58c13cc4dce9e2dc2acf9e3cfaa3ddf6f1,src/renderers/sigma.renderers.canvas.js,MODIFY,"[99, 100, 101]","[99, 100, 101, 102, 103, 367, 368, 369, 370, 371, 372, 373, 374, 375, 376, 377, 378, 379, 380, 381, 382, 383, 384, 385, 386, 387, 388, 389, 390, 391]"
cfd9197f70319109db6b675dd7c82be493ca95a2,src/core/captors/mouse.ts,MODIFY,[188],"[188, 189, 190, 191]"
154408adf4d5df12df88b8d137609327c99fada8,src/core/captors/mouse.ts,MODIFY,"[150, 152, 153, 154, 156, 158, 160, 161, 162]","[150, 151, 152, 154, 155, 156, 158, 160, 161, 162]"
3f4852deac199b73a64049ee6e43cf3046b79f49,plugins/sigma.parsers.gexf/sigma.parsers.gexf.js,MODIFY,"[42, 43, 44, 45]","[42, 43, 44, 45, 46, 47, 48, 49]"
2f6f7ebedab38be62b23f53d646acebf90829fba,src/sigma.ts,MODIFY,"[169, 170, 221, 222, 359, 360, 361, 362, 363, 364, 365, 366, 367, 368, 369, 370, 371, 372, 373, 374, 375, 376, 377, 378, 379, 380, 381, 382, 383, 569, 570, 571, 575, 576, 577, 581, 583, 584, 585, 586, 587, 590, 591, 594, 595, 795, 796, 856, 857, 1709, 1713, 1714, 1717, 1718]","[540, 541, 542, 543, 544, 548, 549, 550, 551, 552, 556, 557, 558, 560, 561, 562, 563, 564, 565, 566, 567, 568, 569, 570, 571, 574, 575, 578, 579, 1689, 1693, 1694, 1697, 1698]"
ced41eb65e11b098739ac596be056091e0bf0883,src/misc/sigma.misc.drawHovers.js,MODIFY,"[19, 22, 23, 27, 28, 29, 30, 43, 44, 45, 46, 52, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 69, 70, 72, 73, 74, 75, 76, 77, 78, 79, 82, 83]","[19, 22, 23, 24, 25, 26, 30, 43, 44, 45, 46, 47, 53, 55, 56, 57, 58, 59, 60, 66, 68, 69, 70, 71, 72, 73]"
4f99be7fb901b7ae453b28521307f76b8b53eed0,src/captors/sigma.captors.touch.js,MODIFY,"[81, 96, 97, 104, 105, 106, 107, 233, 234, 258, 259, 260, 261]","[65, 66, 67, 68, 69, 70, 71, 72, 89, 90, 91, 106, 107, 108, 115, 116, 117, 118, 119, 120, 225, 226, 248, 249, 250, 274, 275, 276, 277, 278, 279]"
08a6b24aa0cf527f52ea38040fed0d46fb1ad484,examples/mouse-manipulations/index.ts,MODIFY,[50],[50]
08a6b24aa0cf527f52ea38040fed0d46fb1ad484,src/core/captors/mouse.ts,MODIFY,[202],"[202, 203, 204, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215]"
2531ff61a068e87734a7eb60935296e2cca64fea,src/sigma.ts,MODIFY,"[471, 1131, 1489]","[471, 472, 1132, 1133, 1134, 1492]"
