fixer_commit_id,source_file,change_type,bug_intro_lines,bug_fix_lines
6cdaf9a9ffe77d6a51f4a6beb87b92dfae07b82b,src/core/quadtree.ts,MODIFY,"[499, '    const nodes: NodeKey[] = [];', 504, '    // If the point is out of the quadtree, return the full outside block:', 505, '    if (x < 0 || y < 0 || x > 1 || y > 1) return this.containers[OUTSIDE_BLOCK];', 506, '']","[499, '    const nodes: NodeKey[] = this.containers[OUTSIDE_BLOCK];']"
507e74ab1283756ceb548d626affcc15ba39ebc1,src/rendering/canvas/edge-label.ts,MODIFY,"[70, '  }', 72, '  if (label.length < 4) return;']","[71, '    if (label.length < 4) return;', 72, '  }']"
b39e13ab0003193ed5da6cd19bb86507bf20044c,src/captors/mouse.ts,MODIFY,"[195, '    setImmediate(() => (this.hasDragged = false));']","[195, '    setTimeout(() => (this.hasDragged = false), 0);']"
9e6ce2269844a8f35dbc66687319469997d82946,src/core/captors/mouse.ts,MODIFY,"[207, '    if (e.target !== this.container) return;', 209, '    this.emit(""mousemove"", mouseCoords);', 210, '', 212, '      // TODO: dispatch events']","[207, '    if (e.target === this.container) {', 208, '      this.emit(""mousemove"", mouseCoords);', 209, '    }', 211, '    // Handle the case when ""isMouseDown"" all the time, to allow dragging the', 212, '    // stage while the mouse is not hover the container:']"
ecd42ed94431e5e44540220e722fe8967d21fcfd,src/renderers/sigma.renderers.webgl.js,MODIFY,"[75, ""    this.initDOM('canvas', 'scene', true);"", 80, '    this.contexts.nodes = this.contexts.scene;', 81, '    this.contexts.edges = this.contexts.scene;', 82, '']","[75, ""    if (this.settings(options, 'batchEdgesDrawing')) {"", 76, ""      this.initDOM('canvas', 'edges', true);"", 77, ""      this.initDOM('canvas', 'nodes', true);"", 78, '    } else {', 79, ""      this.initDOM('canvas', 'scene', true);"", 80, '      this.contexts.nodes = this.contexts.scene;', 81, '      this.contexts.edges = this.contexts.scene;', 82, '    }', 83, '']"
7d25687b3316557ae9d3e079a1cf6cb795cf1d21,src/rendering/webgl/programs/node.image.ts,MODIFY,"[133, '      ctx.drawImage(image, xOffset, 0);']","[133, '      ctx.drawImage(image, xOffset, 0, image.width || 1, image.height || 1);']"
55f107ae7acb48bfcbcb25ae3781f628f3178d10,src/rendering/webgl/programs/node.image.ts,MODIFY,"[19, '  MAX_TEXTURE_SIZE = 100;', 89, '    const pendingImages: { image: HTMLImageElement; id: string; size: number }[] = [];', 105, '    const ctx = canvas.getContext(""2d"") as CanvasRenderingContext2D;', 107, '    canvas.width = pendingImages.reduce((iter, { size }) => iter + size, hasReceivedImages ? textureImage.width : 0);', 108, '    canvas.height = Math.max(hasReceivedImages ? textureImage.height : 0, ...pendingImages.map(({ size }) => size));', 110, '    let xOffset = 0;', 111, '    if (hasReceivedImages) {', 112, '      ctx.putImageData(textureImage, 0, 0);', 113, '      xOffset = textureImage.width;', 114, '    }', 115, '    pendingImages.forEach(({ id, image, size }) => {', 116, '      const imageSizeInTexture = Math.min(MAX_TEXTURE_SIZE, size);', 118, '      // Crop image, to only keep the biggest square, centered:', 119, '      let dx = 0,', 120, '        dy = 0;', 121, '      if ((image.width || 0) > (image.height || 0)) {', 122, '        dx = (image.width - image.height) / 2;', 123, '      } else {', 124, '        dy = (image.height - image.width) / 2;', 126, '      ctx.drawImage(image, dx, dy, size, size, xOffset, 0, imageSizeInTexture, imageSizeInTexture);', 128, '      // Update image state:', 129, '      images[id] = {', 130, '        status: ""ready"",', 131, '        x: xOffset,', 132, '        y: 0,', 133, '        width: imageSizeInTexture,', 134, '        height: imageSizeInTexture,', 135, '      };', 137, '      xOffset += imageSizeInTexture;', 140, '    textureImage = ctx.getImageData(0, 0, canvas.width, canvas.height);', 141, '    hasReceivedImages = true;']","[19, '  // maximum size of single texture in atlas', 20, '  MAX_TEXTURE_SIZE = 192,', 21, '  // maximum width of atlas texture (limited by browser)', 22, '  // low setting of 3072 works on phones & tablets', 23, '  MAX_CANVAS_WIDTH = 3072;', 60, '  // next write position in texture', 61, '  let writePositionX = 0;', 62, '  let writePositionY = 0;', 63, '  // height of current row', 64, '  let writeRowHeight = 0;', 65, '', 66, '  interface PendingImage {', 67, '    image: HTMLImageElement;', 68, '    id: string;', 69, '    size: number;', 70, '  }', 71, '', 105, '    const pendingImages: PendingImage[] = [];', 121, '    const ctx = canvas.getContext(""2d"", {willReadFrequently: true}) as CanvasRenderingContext2D;', 123, '    // limit canvas size to avoid browser and platform limits', 124, '    let totalWidth = hasReceivedImages ? textureImage.width : 0;', 125, '    let totalHeight = hasReceivedImages ? textureImage.height : 0;', 127, '    // initialize image drawing offsets with current write position', 128, '    let xOffset = writePositionX;', 129, '    let yOffset = writePositionY;', 131, '    /**', 132, '     * Draws a (full or partial) row of images into the atlas texture', 133, '     * @param pendingImages', 134, '     */', 135, '    const drawRow = (pendingImages: PendingImage[]) => {', 136, '      // update canvas size before drawing', 137, '      if (canvas.width !== totalWidth || canvas.height !== totalHeight) {', 138, '        canvas.width = Math.min(MAX_CANVAS_WIDTH, totalWidth);', 139, '        canvas.height = totalHeight;', 140, '', 141, '        // draw previous texture into resized canvas', 142, '        if (hasReceivedImages) {', 143, '          ctx.putImageData(textureImage, 0, 0);', 144, '        }', 147, '      pendingImages.forEach(({ id, image, size }) => {', 148, '        const imageSizeInTexture = Math.min(MAX_TEXTURE_SIZE, size);', 150, '        // Crop image, to only keep the biggest square, centered:', 151, '        let dx = 0,', 152, '          dy = 0;', 153, '        if ((image.width || 0) > (image.height || 0)) {', 154, '          dx = (image.width - image.height) / 2;', 155, '        } else {', 156, '          dy = (image.height - image.width) / 2;', 157, '        }', 158, '        ctx.drawImage(image, dx, dy, size, size, xOffset, yOffset, imageSizeInTexture, imageSizeInTexture);', 159, '', 160, '        // Update image state:', 161, '        images[id] = {', 162, '          status: ""ready"",', 163, '          x: xOffset,', 164, '          y: yOffset,', 165, '          width: imageSizeInTexture,', 166, '          height: imageSizeInTexture,', 167, '        };', 168, '', 169, '        xOffset += imageSizeInTexture;', 170, '      });', 171, '', 172, '      hasReceivedImages = true;', 173, '      textureImage = ctx.getImageData(0, 0, canvas.width, canvas.height);', 174, '    };', 175, '', 176, '    let rowImages: PendingImage[] = [];', 177, '    pendingImages.forEach((image) => {', 178, '      const { size } = image;', 179, '      const imageSizeInTexture = Math.min(size, MAX_TEXTURE_SIZE);', 180, '', 181, '      if (writePositionX + imageSizeInTexture > MAX_CANVAS_WIDTH) {', 182, '        // existing row is full: flush row and continue on next line', 183, '        if (rowImages.length > 0) {', 184, '          totalWidth = Math.max(writePositionX, totalWidth);', 185, '          totalHeight = Math.max(writePositionY + writeRowHeight, totalHeight);', 186, '          drawRow(rowImages);', 187, '', 188, '          rowImages = [];', 189, '          writeRowHeight = 0;', 190, '        }', 191, '', 192, '        writePositionX = 0;', 193, '        writePositionY = totalHeight;', 194, '        xOffset = 0;', 195, '        yOffset = totalHeight;', 196, '      }', 197, '', 198, '      // add image to row', 199, '      rowImages.push(image);', 200, '', 201, '      // advance write position and update maximum row height', 202, '      writePositionX += imageSizeInTexture;', 203, '      writeRowHeight = Math.max(writeRowHeight, imageSizeInTexture);', 206, '    // flush pending images in row - keep write position (and drawing cursor)', 207, '    totalWidth = Math.max(writePositionX, totalWidth);', 208, '    totalHeight = Math.max(writePositionY + writeRowHeight, totalHeight);', 209, '    drawRow(rowImages);', 210, '    rowImages = [];', 211, '']"
6fb5149b277b30e791b683b546fb7296bd9c0908,src/core/camera.ts,MODIFY,"[140, '    if (state.x) this.x = state.x;', 141, '    if (state.y) this.y = state.y;', 142, '    if (state.angle) this.angle = state.angle;', 143, '    if (state.ratio) this.ratio = state.ratio;']","[140, '    if (typeof state.x === ""number"") this.x = state.x;', 141, '    if (typeof state.y === ""number"") this.y = state.y;', 142, '    if (typeof state.angle === ""number"") this.angle = state.angle;', 143, '    if (typeof state.ratio === ""number"") this.ratio = state.ratio;']"
7bd4b61f4f892c3531582436cd3213a2a8ef6b52,src/middlewares/sigma.middlewares.rescale.js,MODIFY,"[99, ""      b = settings('maxNodeSize');"", 102, ""      b = settings('minNodeSize');"", 110, ""      d = settings('minEdgeSize');"", 113, ""      d = settings('minEdgeSize');""]","[99, ""      b = +settings('maxNodeSize');"", 102, ""      b = +settings('minNodeSize');"", 110, ""      d = +settings('minEdgeSize');"", 113, ""      d = +settings('minEdgeSize');""]"
6c82de2a97e73c12ef6ab0f5e9036a412cca57db,plugins/sigma.layout.forceAtlas2/sigma.layout.forceAtlas2.js,MODIFY,"[987, '      this.forceatlas2.setAutoSettings();']","[987, '', 988, '      if (this.forceatlas2.p.autoSettings)', 989, '        this.forceatlas2.setAutoSettings();', 990, '']"
