"Name","ClassOrMethod","LOC","CC"
"Runtime","C","341","-"
"render","M","20","3"
"options","M","12","3"
"getContainer","M","2","1"
"getContext","M","2","1"
"on","M","3","1"
"once","M","3","1"
"emit","M","3","1"
"off","M","3","1"
"clear","M","6","1"
"destroy","M","8","2"
"forceFit","M","15","3"
"changeSize","M","12","3"
"_create","M","64","4"
"_reset","M","13","1"
"_renderTrailing","M","14","2"
"_createResolve","M","5","1"
"_createReject","M","5","1"
"_computedOptions","M","8","1"
"_createCanvas","M","10","1"
"_addToTrailing","M","12","1"
"_bindAutoFit","M","14","4"
"_unbindAutoFit","M","5","2"
