"Name","ClassOrMethod","LOC","CC"
"Selection","C","383","-"
"selectAll","M","6","2"
"selectFacetAll","M","14","2"
"select","M","6","3"
"append","M","30","7"
"maybeAppend","M","16","4"
"data","M","103","8"
"merge","M","11","1"
"createElement","M","7","3"
"join","M","17","1"
"remove","M","24","4"
"each","M","7","2"
"attr","M","5","2"
"style","M","5","2"
"transition","M","6","2"
"on","M","5","1"
"call","M","6","1"
"node","M","2","1"
"nodes","M","2","1"
"transitions","M","2","1"
"parent","M","2","1"
