"Name","ClassOrMethod","LOC","CC"
"DataController","C","696","-"
"findData","M","32","11"
"findAllData","M","12","4"
"findRelatedEdges","M","2","1"
"findNearEdges","M","45","3"
"findNeighborNodes","M","4","3"
"findChildren","M","3","2"
"tap","M","11","1"
"getExtensions","M","12","1"
"onDataChange","M","22","2"
"onTreeCollapseExpand","M","7","1"
"onLayout","M","4","3"
"onGraphInit","M","6","3"
"onBehaviorChange","M","11","5"
"onModeChange","M","5","2"
"establishGraphCoreTree","M","14","2"
"changeData","M","55","7"
"doAdd","M","14","5"
"doUpdate","M","90","2"
"doRemove","M","14","3"
"removeNode","M","34","3"
"formatData","M","21","7"
"moveCombo","M","47","1"
"addCombo","M","29","4"
"preprocessData","M","41","2"
"transformData","M","8","1"
"updateTreeGraph","M","11","2"
