"Name","ClassOrMethod","LOC","CC"
"DragNode","C","592","-"
"getRelatedEdges","M","7","1"
"getRelatedNodes","M","9","1"
"getNearEdgesForNodes","M","2","1"
"getComboTreeItems","M","17","2"
"onPointerDown","M","12","2"
"onPointerMove","M","193","20"
"moveNodes","M","35","2"
"moveDelegate","M","14","1"
"clearDelegate","M","2","1"
"clearTransientItems","M","18","1"
"restoreHiddenItems","M","48","7"
"clearState","M","3","1"
"onClick","M","3","1"
"onPointerUp","M","43","2"
"onKeydown","M","18","6"
"onDropNode","M","24","2"
"onDropCombo","M","13","1"
"onDropCanvas","M","24","3"
