"Name","ClassOrMethod","LOC","CC"
"EdgeBundling","C","424","-"
"getDefaultCfgs","M","14","1"
"init","M","2","1"
"setOptionByKey","M","2","1"
"getOptionByKey","M","2","1"
"bundling","M","90","8"
"updateBundling","M","12","2"
"divideEdges","M","65","3"
"getEdgeLength","M","7","1"
"getEdgeBundles","M","36","3"
"getBundleScore","M","42","1"
"getAngleScore","M","3","1"
"getScaleScore","M","4","1"
"getPositionScore","M","15","1"
"getVisibilityScore","M","4","2"
"getEdgeVisibility","M","14","1"
"getEdgeForces","M","29","2"
"getSpringForce","M","7","1"
"getElectrostaticForce","M","24","1"
"destroy","M","2","1"
