"Name","ClassOrMethod","LOC","CC"
"Fisheye","C","522","-"
"getDefaultCfgs","M","15","1"
"getEvents","M","26","3"
"init","M","7","1"
"isInLensDelegate","M","11","5"
"onPointerUp","M","4","1"
"onPointerMove","M","6","4"
"onPointerDown","M","14","3"
"moveDelegate","M","8","2"
"onWheel","M","13","8"
"scaleRByWheel","M","29","13"
"scaleRByDragMethod","M","22","11"
"scaleDByWheel","M","24","8"
"scaleDByDragMethod","M","10","4"
"magnify","M","81","18"
"restoreCache","M","6","1"
"updateParams","M","41","18"
"updateDelegate","M","62","12"
"clear","M","18","5"
"destroy","M","2","1"
