"Name","ClassOrMethod","LOC","CC"
"Graph","C","2498","-"
"initControllers","M","8","1"
"initCanvas","M","67","8"
"changeRenderer","M","3","2"
"initHooks","M","108","1"
"formatSpecification","M","13","1"
"updateSpecification","M","12","8"
"updateTheme","M","15","1"
"updateMapper","M","16","4"
"updateStateConfig","M","27","3"
"getSpecification","M","2","1"
"read","M","60","3"
"changeData","M","22","3"
"clear","M","13","1"
"getViewportCenter","M","3","1"
"transform","M","9","3"
"stopTransformTransition","M","2","1"
"translate","M","22","1"
"translateTo","M","15","1"
"zoom","M","10","1"
"zoomTo","M","2","1"
"getZoom","M","2","1"
"rotate","M","10","1"
"rotateTo","M","2","1"
"fitView","M","76","15"
"fitCenter","M","10","2"
"focusItem","M","20","6"
"getItemById","M","2","1"
"getSize","M","3","1"
"setSize","M","15","3"
"getCanvasRange","M","10","1"
"getCanvasByViewport","M","2","1"
"getViewportByCanvas","M","2","1"
"getClientByCanvas","M","3","1"
"getCanvasByClient","M","3","1"
"getNodeData","M","3","3"
"getEdgeData","M","3","4"
"getComboData","M","3","3"
"getAllNodesData","M","2","1"
"getAllEdgesData","M","2","1"
"getAllCombosData","M","2","1"
"getRelatedEdgesData","M","2","1"
"getNearEdgesData","M","4","1"
"getNeighborNodesData","M","2","1"
"getComboChildrenData","M","2","1"
"getTypeById","M","2","1"
"getDisplayModel","M","2","1"
"findIdByState","M","14","4"
"addData","M","40","3"
"removeData","M","39","4"
"extendChanges","M","38","1"
"updateData","M","41","3"
"updateNodePosition","M","7","1"
"updateComboPosition","M","7","1"
"updatePosition","M","48","5"
"getItemPreviousVisibility","M","12","2"
"showItem","M","46","6"
"hideItem","M","51","6"
"frontItem","M","12","2"
"backItem","M","12","2"
"getItemPreviousStates","M","12","4"
"setItemState","M","23","5"
"getItemState","M","2","1"
"getItemAllStates","M","2","1"
"clearItemState","M","20","2"
"getRenderBBox","M","3","2"
"getItemVisible","M","2","1"
"getItemVisibleShapeIds","M","2","1"
"addCombo","M","41","1"
"collapseCombo","M","12","2"
"expandCombo","M","12","2"
"moveCombo","M","45","2"
"layout","M","41","5"
"stopLayout","M","2","1"
"getLayoutCurrentAnimation","M","2","1"
"setMode","M","2","1"
"getMode","M","2","1"
"setCursor","M","5","1"
"addBehaviors","M","14","3"
"removeBehaviors","M","20","2"
"updateBehavior","M","14","1"
"addPlugins","M","44","3"
"removePlugins","M","12","2"
"updatePlugin","M","51","4"
"drawTransient","M","29","2"
"toDataURL","M","69","4"
"toFullDataURL","M","112","23"
"dataURLToImage","M","41","13"
"downloadImage","M","17","4"
"downloadFullImage","M","14","4"
"asyncToDataUrl","M","10","2"
"asyncToFullDataUrl","M","14","2"
"collapse","M","7","2"
"expand","M","7","2"
"destroy","M","30","2"
