"Name","ClassOrMethod","LOC","CC"
"ItemController","C","1554","-"
"tap","M","17","1"
"onRender","M","130","6"
"onChange","M","287","10"
"onItemStateChange","M","18","1"
"onItemStateConfigChange","M","22","1"
"onItemVisibilityChange","M","57","1"
"onItemZIndexChange","M","29","1"
"onTransientUpdate","M","164","30"
"getTransient","M","2","1"
"getTransientItem","M","2","1"
"getItemMap","M","2","1"
"findDisplayModel","M","11","2"
"renderNodes","M","80","4"
"renderCombos","M","54","1"
"renderEdges","M","86","4"
"findIdByState","M","7","1"
"getItemState","M","10","3"
"getItemAllStates","M","13","3"
"getItemById","M","2","1"
"getItemBBox","M","11","6"
"getItemVisibleShapeIds","M","7","1"
"getItemVisible","M","12","4"
"sortByComboTree","M","8","2"
"collapseCombo","M","25","1"
"expandCombo","M","70","2"
"onTreeCollapseExpand","M","17","2"
"collapseSubTree","M","37","2"
"expandSubTree","M","23","1"
