"Name","ClassOrMethod","LOC","CC"
"Minimap","C","694","-"
"getDefaultCfgs","M","17","1"
"getEvents","M","8","1"
"disableRefresh","M","2","1"
"enableRefresh","M","3","1"
"initViewport","M","151","12"
"updateViewport","M","62","11"
"updateGraphShapes","M","18","3"
"updateKeyShapes","M","33","5"
"updateOneNodeKeyShape","M","39","11"
"updateDelegateShapes","M","34","5"
"clearDestroyedShapes","M","9","1"
"updateOneEdgeKeyShape","M","24","6"
"updateOneNodeDelegateShape","M","42","7"
"init","M","4","1"
"initContainer","M","40","4"
"updateCanvas","M","48","9"
"getCanvas","M","2","1"
"getViewport","M","2","1"
"getContainer","M","2","1"
"destroy","M","5","2"
