"Name","ClassOrMethod","LOC","CC"
"Snapline","C","1180","-"
"setTolerance","M","2","1"
"getTolerance","M","2","1"
"getDrawLineIdByDrawLine","M","3","2"
"getDrawLineIdByPoints","M","2","1"
"addAlignLinesForChoose","M","64","1"
"initAlignLinesForChoose","M","300","1"
"chooseAlignLine","M","125","6"
"getEvents","M","6","1"
"onPointerDown","M","5","1"
"onPointerMove","M","13","4"
"onPointerUp","M","10","2"
"getGraph","M","2","1"
"onDragStart","M","3","1"
"onDragEnd","M","6","1"
"drawAlignLines","M","36","5"
"removeAlignLine","M","17","3"
"removeAlignLineByID","M","26","1"
"getDraggingBBoxPointByLinePosition","M","22","8"
"updateAlignLineWhenAbsorb","M","38","7"
"canDrawLine","M","7","3"
"canCancelAbsorb","M","24","5"
"absorb","M","17","3"
"updateDraggingItemPosition","M","56","13"
"doUpdatePosition","M","10","1"
