"Name","ClassOrMethod","LOC","CC"
"Timebar","C","326","-"
"getDefaultCfgs","M","19","1"
"getEvents","M","5","1"
"init","M","2","1"
"reset","M","2","1"
"backward","M","2","1"
"play","M","2","1"
"pause","M","2","1"
"forward","M","2","1"
"destroy","M","3","1"
"createWrapper","M","8","1"
"createCanvas","M","4","1"
"updateTimebar","M","7","3"
"updatePosition","M","16","4"
"renderTimebar","M","49","2"
"handleDataChange","M","4","1"
"handleValuesChange","M","2","1"
"processValuesChange","M","4","2"
"filter","M","78","4"
"mutateGraph","M","27","1"
"padding","M","2","1"
"containerShape","M","12","1"
"data","M","3","1"
"container","M","6","3"
