"Name","ClassOrMethod","LOC","CC"
"Svg","C","410","-"
"attr","M","28","3"
"elem","M","7","1"
"parent","M","4","2"
"root","M","12","3"
"querySelector","M","3","2"
"querySelectorAll","M","3","1"
"getNode","M","2","1"
"foreignObject","M","35","3"
"text","M","3","1"
"empty","M","6","2"
"remove","M","3","1"
"replace","M","3","1"
"append","M","8","3"
"classes","M","4","2"
"addClass","M","12","1"
"removeClass","M","11","1"
"removeAllClasses","M","3","1"
"height","M","2","1"
"width","M","2","1"
"animate","M","31","1"
