Commit ID,Files
36fa5c2e5efb429896d48299080a14294b4aa60a,#('src/tree.js' 'demos/test.html')
63f43ce478d758b9ed515b213cdf63d4770f690c,#('packages/plugin/tests/unit/grid-spec.ts' 'packages/element/package.json' 'packages/plugin/package.json' 'packages/plugin/src/bundling/index.ts' 'packages/g6/package.json' 'packages/pc/src/index.ts' 'packages/core/package.json' 'packages/pc/src/graph/controller/layout.ts' 'packages/site/docs/manual/middle/elements/nodes/jsx-node.zh.md' 'CHANGELOG.md' 'packages/pc/src/global.ts' 'packages/plugin/tests/unit/annotation-spec.ts' 'packages/plugin/src/index.ts' 'packages/core/src/graph/controller/layout.ts' 'packages/core/src/global.ts' 'packages/g6/src/index.ts' 'packages/pc/package.json' 'packages/pc/tests/unit/combo-collapse-layout-spec.ts' 'packages/core/src/graph/graph.ts' 'packages/plugin/src/annotation/index.ts')
73ec73fd7b2e114db236655bf35c30363465e692,#('src/graph/controller/view.ts' 'package.json' 'tests/unit/issues-spec.ts')
a1554f3e2010f8074d0580a8eafcd67c4d7c1f65,#('src/plugins/fisheye/index.ts' 'examples/item/multiEdge/demo/multiEdges.js' 'CHANGELOG.md' 'gatsby-browser.js' 'examples/tool/fisheye/demo/fisheyeStyle.js' 'examples/tool/fisheye/demo/fisheye.js' 'src/shape/node.ts' 'package.json' 'src/util/base.ts' 'src/plugins/tooltip/index.ts' 'src/global.ts' 'src/behavior/zoom-canvas.ts' 'tests/unit/behavior/zoom-spec.ts')
52e170755995d251a1d89c6bedff61af5ca6458e,#('packages/plugin/src/minimap/index.ts' 'CHANGELOG.md')
a6ac63f849bb4a986d2da633fe19b020a40fd139,#('stories/Shape/component/polyline.tsx' 'src/layout/dagre.ts' 'src/shape/edges/polyline.ts')
594106e4228d61a2ea8159a44807dbbefe95c9a8,#('packages/core/tests/unit/graph/controller/view-spec.ts' 'packages/site/docs/api/graphFunc/transform.en.md' 'packages/core/src/interface/graph.ts' 'packages/element/package.json' 'packages/plugin/package.json' 'packages/site/docs/manual/middle/elements/nodes/jsx-node.en.md' 'packages/g6/package.json' 'packages/site/examples/item/customNode/demo/card.js' 'packages/core/package.json' 'packages/pc/tsconfig.json' 'packages/pc/src/graph/controller/layout.ts' 'packages/site/docs/api/graphFunc/transform.zh.md' 'CHANGELOG.md' 'packages/pc/src/global.ts' 'packages/core/src/graph/controller/view.ts' 'packages/core/src/graph/controller/layout.ts' 'packages/core/src/global.ts' 'packages/g6/src/index.ts' 'packages/pc/package.json' 'packages/pc/tests/unit/layout/dagre-spec.ts' 'packages/core/src/graph/graph.ts')
c57e4ef68c6988f5d34638f924f4c4e5b8e10e1d,#('src/shape/edges/polyline.ts')
7d8031fba9b93d60dc6d73a33b7de6b42ad550e0,#('/dev/null' 'src/tree.js' 'src/util/base.js' 'package.json' 'test/bugs/issue-357-spec.js' 'src/item/edge.js' 'src/item/node.js' 'src/mixin/layout.js' 'src/mixin/animate.js')
c0f6161355788d5993240a2a58907f73d4179565,#('packages/element/package.json' 'packages/plugin/package.json' 'packages/g6/package.json' 'packages/site/docs/api/Plugins.en.md' 'packages/core/package.json' 'CHANGELOG.md' 'packages/pc/src/global.ts' 'packages/plugin/src/legend/index.ts' 'packages/core/src/global.ts' 'packages/g6/src/index.ts' 'packages/pc/package.json' 'packages/plugin/src/base.ts' 'packages/core/src/graph/graph.ts' 'packages/plugin/src/annotation/index.ts')
bf2285fcdd6371d4b33d54a6af63a02c1b75c242,#('package.json' 'src/global.ts' 'src/graph/graph.ts' 'CHANGELOG.md')
6e474ec623034234b920841c9d3fd3b7ecadd678,#('packages/core/tests/unit/graph/controller/state-spec.ts' 'packages/element/package.json' 'packages/plugin/package.json' 'packages/pc/src/behavior/drag-combo.ts' 'packages/site/docs/api/shapeProperties.en.md' 'packages/pc/src/graph/graph.ts' 'packages/pc/src/graph/controller/layout.ts' 'packages/plugin/src/menu/index.ts' 'packages/core/src/graph/controller/item.ts' 'packages/site/docs/manual/middle/states/defaultBehavior.zh.md' 'packages/core/src/element/edge.ts' 'packages/core/src/global.ts' 'packages/pc/package.json' 'packages/core/tests/unit/graph/controller/mode-spec.ts' 'packages/core/src/util/graphic.ts' 'packages/g6/package.json' 'packages/core/package.json' 'packages/site/package.json' 'CHANGELOG.md' 'packages/pc/tests/unit/behavior/drag-node-spec.ts' 'packages/site/docs/manual/middle/states/defaultBehavior.en.md' 'packages/pc/src/global.ts' 'packages/g6/src/index.ts' 'packages/site/docs/api/shapeProperties.zh.md' 'packages/site/docs/manual/middle/elements/nodes/react-node.zh.md' 'packages/core/src/graph/controller/mode.ts' 'packages/pc/src/behavior/drag-node.ts' 'packages/core/src/graph/graph.ts')
c5cf67b7bb342d35c10bb1643be32f7a2319b20e,#('packages/element/package.json' 'packages/plugin/package.json' 'packages/pc/src/behavior/drag-combo.ts' 'packages/pc/src/behavior/scroll-canvas.ts' 'packages/pc/src/graph/graph.ts' 'packages/pc/src/behavior/lasso-select.ts' 'packages/pc/src/graph/controller/layout.ts' 'packages/pc/src/behavior/create-edge.ts' 'packages/pc/src/behavior/zoom-canvas.ts' 'packages/site/docs/manual/middle/elements/methods/lock-node.en.md' 'packages/core/src/graph/controller/item.ts' 'packages/site/docs/manual/middle/elements/methods/lock-node.zh.md' 'packages/site/docs/manual/middle/states/defaultBehavior.zh.md' 'packages/core/src/graph/controller/view.ts' 'packages/pc/src/behavior/click-select.ts' 'packages/core/src/global.ts' 'packages/site/docs/api/Behavior.zh.md' 'packages/site/examples/case/graphDemos/demo/sequence.js' 'packages/pc/package.json' 'packages/pc/src/behavior/collapse-expand.ts' 'packages/plugin/src/minimap/index.ts' 'packages/pc/src/behavior/activate-relations.ts' 'packages/g6/package.json' 'packages/site/docs/api/Behavior.en.md' 'packages/site/examples/case/graphDemos/demo/meta.json' 'packages/pc/src/behavior/tooltip-base.ts' 'packages/core/package.json' 'packages/pc/src/behavior/brush-select.ts' 'packages/pc/tests/unit/graph/tree-graph-spec.ts' 'packages/site/package.json' 'packages/plugin/tests/unit/minimap-spec.ts' 'CHANGELOG.md' 'packages/pc/src/interface/graph.ts' 'packages/site/docs/manual/middle/states/defaultBehavior.en.md' 'packages/pc/src/behavior/drag-canvas.ts' 'packages/pc/src/global.ts' 'packages/g6/src/index.ts' 'packages/pc/src/graph/tree-graph.ts' 'packages/site/docs/api/graphFunc/watermarker.zh.md' 'packages/pc/src/behavior/drag-node.ts' 'packages/site/docs/api/graphFunc/watermarker.en.md' 'packages/site/docs/manual/middle/states/custom-behavior.en.md' 'packages/site/docs/manual/middle/states/custom-behavior.zh.md')
2ac9916d10182eb80caeaf0017959ea6a7c5c9c7,#('demos/pluginMaxSpanningForest.html' '/dev/null' 'src/controller/event.js' 'test/unit/controller/event-spec.js' 'package.json' 'src/version.js' 'demos/pluginMinimap.html')
65a029de6a624535f9d3b33d8929f7d71c2b78ff,#('packages/plugin/src/timeBar/handler.ts' 'packages/element/package.json' 'packages/plugin/package.json' 'packages/pc/tests/unit/element/edge-label-back-spec.ts' 'packages/site/docs/api/graphLayout/dagre.en.md' 'packages/core/src/graph/controller/item.ts' 'packages/plugin/src/timeBar/trend.ts' 'packages/core/src/element/edge.ts' 'packages/pc/tests/unit/graph/svg-spec.ts' 'packages/core/src/global.ts' 'packages/core/src/element/shapeBase.ts' 'packages/pc/package.json' 'packages/core/src/element/node.ts' 'packages/plugin/tests/unit/timebar-spec.ts' 'packages/site/docs/manual/middle/plugins/Plugins.en.md' 'packages/site/docs/manual/middle/plugins/Plugins.zh.md' 'packages/core/src/interface/graph.ts' 'packages/core/src/util/graphic.ts' 'packages/g6/package.json' 'packages/site/docs/api/Plugins.en.md' 'packages/core/package.json' 'packages/plugin/src/timeBar/index.ts' 'packages/site/package.json' 'packages/site/docs/api/graphLayout/dagre.zh.md' 'CHANGELOG.md' 'packages/site/docs/api/treeMethods.zh.md' 'packages/pc/src/global.ts' 'packages/site/docs/api/treeMethods.en.md' 'packages/plugin/src/timeBar/trendTimeBar.ts' 'packages/plugin/src/timeBar/timeButton.ts' 'packages/pc/tests/unit/element/nodes/icon-iconfont-spec.ts' 'packages/site/docs/api/Plugins.zh.md' 'packages/g6/src/index.ts' 'packages/plugin/src/timeBar/controllerBtn.ts' 'packages/plugin/src/timeBar/timeBarSlice.ts' 'packages/pc/tests/unit/performance/data1-spec.ts' 'packages/core/src/graph/graph.ts')
